disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
Q Fever,q fever,aido,q fever,bacteria,Legionellales,Coxiellaceae,Coxiella,burnetii,,gram-negative,aerobe,,
q fever,q fever,oie,Q fever,bacteria,Legionellales,Coxiellaceae,Coxiella,burnetii,,gram-negative,aerobe,,
Campylobacteriosis,campylobacteriosis,aido,,bacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,,gram-negative,microaerobe,,
caprine arthritis and encephalitis,caprine arthritis and encephalitis,oie,,virus,Ortervirales,Retroviridae,Lentivirus,Caprine arthritis encephalitis virus,CAEV,RNA,single-stranded,positive-sense,
spring viremia of carp,spring viremia of carp,oie,swim bladder inflammation,virus,Mononegavirales,Rhabdoviridae,Sprivivirus,Carp sprivivirus,SVCV,RNA,single-stranded,negative-sense,
Chikungunya,chikungunya,aido,,virus,Martellivirales,Togaviridae,Alphavirus,Chikungunya virus,CHIKV,RNA,single-stranded,positive-sense,mosquito
Cholera,cholera,aido,,bacteria,Vibrionales,Vibrionaceae,Vibrio,cholerae,,gram-negative,facultative anaerobe,,
Shiga Toxin-Producing E. Coli (STEC),shiga toxin-producing e. coli (stec),aido,,bacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli,,gram-negative,facultative anaerobe,,
Crimean-Congo Hemorrhagic Fever,crimean-congo hemorrhagic fever,aido,,virus,Bunyavirales,Nairoviridae,Orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,CCHFV,RNA,single-stranded,negative-sense,ticks
koi herpes disease,koi herpesvirus disease,oie,koi herpesvirus disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,,
koi herpesvirus disease,koi herpesvirus disease,oie,koi herpes disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,,
infectious hypodermal and hematopoietic necrosis ihhn,infectious hypodermal and hematopoietic necrosis ihhn,oie,,virus,Piccovirales,Parvoviridae,Penstylhamaparvovirus,Decapod penstylhamaparvovirus 1,IHHNV,DNA,single-stranded,,
batrachochytrium dendrobatidis,batrachochytrium dendrobatidis,oie,,eukaryote,Rhizophydiales,Batrachochytriaceae,Batrachochytrium,dendrobatidis,,fungus,,,
Dengue,dengue,aido,,virus,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,DENV,RNA,single-stranded,positive-sense,mosquito
varroosis,varroosis,oie,,eukaryote,Mesostigmata,Varroidae,Varroa,destructor,,arachnid,,,
marteilia refringens,marteilia refringens,oie,,eukaryote,Paramyxida,Marteiliidae,Marteilia,efringens,,protozoan,,,
swine vesicular disease,swine vesicular disease,oie,,virus,Picornavirales,Picornaviridae,Enterovirus,Enterovirus B,EV-B,RNA,single-stranded,positive-sense,
Polio,polio,aido,,virus,Picornavirales,Picornaviridae,Enterovirus,Enterovirus C,PV,RNA,single-stranded,positive-sense,
epizootic haemorrhagic disease,epizootic hemorrhagic disease,oie,epizootic hemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,,RNA,double-stranded,,
epizootic hemorrhagic disease,epizootic hemorrhagic disease,oie,epizootic haemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,,RNA,double-stranded,,
equine viral rhinopneumonitis,equine viral rhinopneumonitis,oie,,virus,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,EHV-4,DNA,double-stranded,,
taylorella equigenitalis,taylorella equigenitalis,oie,Contagious equine metritis,bacteria,Burkholderiales,Alcaligenaceae,Taylorella,equigenitalis,,gram-negative,aerobe,,
equine infectious anaemia,equine infectious anaemia,oie,swamp fever,virus,Ortervirales,Retroviridae,Lentivirus,Equine infectious anemia virus,EIAV,RNA,single-stranded,positive-sense,
dourine,dourine,oie,,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,equiperdum,,kinetoplastid,,,
surra,surra,oie,,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,evansi,,excavate,,,
bonamia exitiosa,bonamia exitiosa,oie,,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,exitiosa,,rhizaria,,,
bovine genital campylobacteriosis,bovine genital campylobacteriosis,oie,campylobacteriosis,bacteria,Campylobacterales,Campylobacteraceae,Campylobacter,fetus,,gram-negative,microaerobe,,
Foot And Mouth Disease,foot-and-mouth disease,aido,foot-and-mouth disease,virus,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,FMDV,RNA,single-stranded,positive-sense,
foot-and-mouth disease,foot-and-mouth disease,oie,Foot And Mouth Disease,virus,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,FMDV,RNA,single-stranded,positive-sense,
avian infectious laryngotracheitis,avian infectious laryngotracheitis,oie,,virus,Herpesvirales,Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1,GaHV-1,DNA,double-stranded,,
fowl typhoid,fowl typhoid,oie,,bacteria,Enterobacterales,Enterobacteriaceae,Salmonella,gallinarum,,gram-negative,facultative anaerobe,,
abalone icosahedral virus disease,abalone icosahedral virus disease,oie,,virus,Herpesvirales,Malacoherpesviridae,Aurivirus,Haliotid herpesvirus 1,HaHV-1,DNA,double-stranded,,
hendra virus pneumonia,hendra virus pneumonia,oie,,virus,Mononegavirales,Paramyxoviridae,Henipavirus,Hendra henipavirus,HeV,RNA,single-stranded,negative-sense,
